mlp_ratio,sum_mlp_ratio,num_heads,one_layer_heads,sum_num_heads,embed_dim,sum_embed,one_layer_embed,layer_num,dss score,retrain accuracy50,resultfilename,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 8 32 16 16 16 32 8,128, 6 3 3 3 4 4 6,6,29, 128 128 128 128 128 128 128,896,128,7,351.1853027,54.91,11477122,83.57,11496228,-2.929944992,134.3124695,19:09
 8 8 32 16 8 16,88, 4 6 6 3 3 4,4,26, 128 128 128 128 128 128,768,128,6,350.9819336,51.49,11477386,81.43,11496492,-0.413102478,60.17396545,17:19
 8 16 32 8 32 32,128, 6 3 6 3 3 4,6,25, 128 128 128 128 128 128,768,128,6,350.4456482,47.3,11477506,80.96,11496612,-0.470455587,73.4287262,18:42
 32 8 32 16 16,104, 3 6 3 6 4,3,22, 128 128 128 128 128,640,128,5,346.4724731,46.04,11477319,80.83,11496425,-0.385138214,57.53508377,17:15
 16 8 32 16 16 32,120, 6 3 3 4 3 6,6,25, 128 128 128 128 128 128,768,128,6,344.5353699,53.72,11477199,81.44,11496305,-0.437219054,70.68218994,15:35
 8 16 8 8 16,56, 4 6 3 3 4,4,20, 128 128 128 128 128,640,128,5,344.4245605,49.67,11477480,79.75,11496586,-0.372378767,44.53081131,13:01
 32 8 32 16 16 8,112, 3 6 3 3 6 6,3,27, 128 128 128 128 128 128,768,128,6,344.1239014,50.94,11477391,82.45,11496497,-0.310178339,62.66900253,17:08
 8 32 16 16,72, 3 6 4 6,3,19, 128 128 128 128,512,128,4,342.0690613,51.43,11477390,76.76,11496496,-0.434523463,48.80760193,13:45
 32 16 32 16 8,104, 4 4 3 3 3,4,17, 128 128 128 128 128,640,128,5,340.1654968,45.71,11477488,82.12,11496594,-0.369916111,55.81692505,14:07
 32 32 16 8,88, 3 4 6 4,3,17, 128 128 128 128,512,128,4,339.9979248,42.41,11477239,77.97,11496345,-0.359154463,48.2057991,12:30
 8 8 32 8 16,72, 4 6 4 3 6,4,23, 128 128 128 128 128,640,128,5,339.7590637,41.45,11477125,79.94,11496231,-0.418147326,50.05651474,16:14
 8 32 16 32,88, 3 6 4 3,3,16, 128 128 128 128,512,128,4,339.6640625,50.56,11477381,78.63,11496487,-0.409119785,51.95663834,13:02
 8 32 16 16 32,104, 3 6 3 6 4,3,22, 128 128 128 128 128,640,128,5,338.3923645,51.51,11477497,80.95,11496603,-0.474313259,58.90677261,13:53
 8 8 32 8 32 32 8,128, 6 3 6 6 6 6 4,6,37, 128 128 128 128 128 128 128,896,128,7,338.0726624,52.12,11477523,81.21,11496629,-2.590651989,131.3683472,19:48
 8 8 32 8 16 32 32,136, 4 6 3 6 4 3 6,4,32, 128 128 128 128 128 128 128,896,128,7,337.7090759,43.75,11477302,82.57,11496408,-3.587014675,161.3288422,17:39
 8 16 32 32,88, 6 3 3 3,6,15, 128 128 128 128,512,128,4,334.2849121,48.71,11477230,77.99,11496336,-0.427555948,55.25226212,11:40
 16 8 8 32 16 16,96, 3 6 6 3 3 6,3,27, 128 128 128 128 128 128,768,128,6,333.9430847,49.94,11477410,81.42,11496516,-0.420060456,62.67720413,18:23
 8 32 32 8 8 32,120, 4 4 6 4 4 6,4,28, 128 128 128 128 128 128,768,128,6,333.6151733,50.16,11477361,82.3,11496467,-0.357552469,67.50510406,16:44
 32 16 32 32 32 16 32,192, 4 3 6 3 6 4 4,4,30, 128 128 128 128 128 128 128,896,128,7,333.4761963,41.82,11477286,83.03,11496392,-3.769095898,171.4985962,20:11
 8 16 16 8 16 8,72, 3 6 6 3 4 6,3,28, 128 128 128 128 128 128,768,128,6,332.4102173,47.54,11477382,80.85,11496488,-0.390187383,56.22564697,15:08
 8 8 8 8,32, 4 6 4 4,4,18, 128 128 128 128,512,128,4,332.363739,41.34,11477511,76.16,11496617,-0.356436312,33.67851257,12:16
 8 8 8 16 16,56, 4 6 3 3 6,4,22, 128 128 128 128 128,640,128,5,328.3645935,48.24,11477537,78.9,11496643,-0.389321029,44.42912674,13:45
 8 32 32 16 32 16 16,152, 4 4 4 6 4 3 4,4,29, 128 128 128 128 128 128 128,896,128,7,325.1214905,45.15,11477217,81.8,11496323,-3.748102188,158.9983521,20:12
 32 16 32 16,96, 3 4 6 4,3,17, 128 128 128 128,512,128,4,323.8453979,44.09,11477145,78.84,11496251,-0.353373796,53.33037186,13:34
 16 8 16 16 16 32 8,112, 3 6 3 4 4 4 3,3,27, 128 128 128 128 128 128 128,896,128,7,322.4379883,45.32,11477475,81.77,11496581,-2.117521286,113.4613266,16:28
 8 16 32 8 32,96, 3 6 3 4 4,3,20, 128 128 128 128 128,640,128,5,320.302063,42.69,11477163,80.11,11496269,-0.395608008,56.63063049,17:07
 8 32 16 16 8 16,96, 4 4 3 4 6 3,4,24, 128 128 128 128 128 128,768,128,6,315.3114014,57.91,11477423,81.07,11496529,-0.429624856,62.58784485,15:03
 8 8 8 32,56, 6 3 3 6,6,18, 128 128 128 128,512,128,4,314.0477905,50.49,11477519,77.33,11496625,-0.425300479,43.38339996,12:31
 16 32 32 8,88, 3 4 3 6,3,16, 128 128 128 128,512,128,4,308.8423462,46.7,11477245,76.97,11496351,-0.429660052,51.99263382,12:47
 16 16 32 8 32 16 16,136, 3 4 6 6 3 6 3,3,31, 128 128 128 128 128 128 128,896,128,7,306.6430054,45.55,11477544,82.79,11496650,-3.058167696,144.9523621,16:43
 32 8 32 8,80, 3 4 6 3,3,16, 128 128 128 128,512,128,4,305.9974365,45.08,11477421,75.41,11496527,-0.382171661,44.97859955,14:40
 32 8 16 32 8 8 8,112, 4 3 4 6 3 4 6,4,30, 128 128 128 128 128 128 128,896,128,7,305.2614136,50.52,11477441,81.62,11496547,-3.320988417,125.477211,16:17
 32 32 32 8 8 8 8,128, 3 3 3 6 3 4 4,3,26, 128 128 128 128 128 128 128,896,128,7,305.0495605,44.34,11477202,82.23,11496308,-3.945003986,131.1937561,16:27
 32 8 32 32 16 16,136, 4 3 3 6 4 3,4,23, 128 128 128 128 128 128,768,128,6,303.9130554,47.1,11477162,82.04,11496268,-0.285673916,71.60333252,17:38
 32 8 16 16 16 16 8,112, 4 3 4 3 3 4 4,4,25, 128 128 128 128 128 128 128,896,128,7,301.8607788,45.33,11477411,82.64,11496517,-2.903180599,121.5916443,21:10
 16 16 16 8,56, 3 4 6 3,3,16, 128 128 128 128,512,128,4,299.2702026,42.64,11477161,76.65,11496267,-0.431462407,43.30371857,14:16
 32 8 16 16 16,88, 4 3 3 4 4,4,18, 128 128 128 128 128,640,128,5,298.0921936,50.74,11477556,81.41,11496662,-0.327182144,52.38802719,13:08
 16 16 8 32 32 32 16,152, 3 4 6 3 3 4 4,3,27, 128 128 128 128 128 128 128,896,128,7,297.7633057,41.26,11477462,82.7,11496568,-2.483371496,146.032196,20:12
 8 32 16 8 16 32,112, 4 3 4 6 6 6,4,29, 128 128 128 128 128 128,768,128,6,296.0595398,47.79,11477341,82.02,11496447,-0.403128713,69.06991577,18:12
 16 16 8 8,48, 3 4 6 3,3,16, 128 128 128 128,512,128,4,295.3057861,43.43,11477553,76.03,11496659,-0.359136552,38.83898926,14:34
 8 32 16 16 8 16 32,128, 4 3 4 4 4 3 6,4,28, 128 128 128 128 128 128 128,896,128,7,294.0862122,47.19,11477227,81.28,11496333,-4.804326057,172.4956512,17:32
 32 8 8 32,80, 3 4 4 6,3,17, 128 128 128 128,512,128,4,291.7863464,48.69,11477398,78.06,11496504,-0.429489166,48.03504944,11:48
 16 16 32 8,72, 3 4 4 3,3,14, 128 128 128 128,512,128,4,291.0635376,42.75,11477083,77.16,11496189,-0.482158452,47.9796257,9:51
 16 16 8 8 16 16 32,112, 4 3 3 4 6 4 3,4,27, 128 128 128 128 128 128 128,896,128,7,290.6697998,41.42,11477215,81.97,11496321,-4.342544079,143.9206085,18:22
 8 8 16 32 16 8,88, 4 4 4 6 6 6,4,30, 128 128 128 128 128 128,768,128,6,287.3707275,50.4,11477490,81.08,11496596,-0.365032583,59.05455399,14:13
 16 16 16 32 32 32 8,152, 3 4 3 3 6 3 3,3,25, 128 128 128 128 128 128 128,896,128,7,286.2036133,48.76,11477402,82.92,11496508,-2.26480341,119.6311188,20:22
 8 8 16 8 32 16 32,120, 4 4 4 6 3 3 4,4,28, 128 128 128 128 128 128 128,896,128,7,285.7379761,42.5,11477216,82.94,11496322,-4.047736168,152.9916992,17:55
 16 16 8 16 8,64, 3 4 3 3 3,3,16, 128 128 128 128 128,640,128,5,280.5588684,50.66,11477393,80.67,11496499,-0.274497122,45.0959549,14:13
 16 16 32 8,72, 3 3 6 4,3,16, 128 128 128 128,512,128,4,278.6889954,44.14,11477174,75.54,11496280,-0.49994269,48.10958481,12:12
 8 16 32 8 8 32 8,112, 4 3 4 4 6 6 4,4,31, 128 128 128 128 128 128 128,896,128,7,278.1629028,46.29,11477178,82.84,11496284,-2.405982494,121.8303604,17:40
 16 16 16 32 16 8,104, 3 3 6 3 4 3,3,22, 128 128 128 128 128 128,768,128,6,276.8601379,53.01,11477164,81.11,11496270,-0.377103835,63.46854401,16:44
 16 16 8 16,56, 3 3 6 6,3,18, 128 128 128 128,512,128,4,274.1287537,49.96,11477187,76.52,11496293,-0.342461765,42.46324539,14:25
 16 8 8 8,40, 3 4 4 6,3,17, 128 128 128 128,512,128,4,269.7432861,40.49,11477469,73.64,11496575,-0.347949147,35.34522247,15:03
 8 8 32 32 16 8,104, 3 4 6 4 3 4,3,24, 128 128 128 128 128 128,768,128,6,266.3239441,48.49,11477417,79.39,11496523,-0.32425797,61.91035461,15:26
 16 16 32 16,80, 3 3 3 4,3,13, 128 128 128 128,512,128,4,263.3178406,47.83,11477112,78.52,11496218,-0.437999845,52.09714508,10:03
 8 32 32 16 32 32 8,160, 3 3 4 3 4 6 4,3,27, 128 128 128 128 128 128 128,896,128,7,263.3054504,51.44,11477171,81.97,11496277,-2.12141037,133.8773346,18:00
 16 16 32 8 32,104, 3 3 3 3 3,3,15, 128 128 128 128 128,640,128,5,262.6568909,41.17,11477428,80.29,11496534,-0.486239344,57.83140182,13:42
 8 16 16 16 16 32 8,112, 3 4 3 3 6 3 4,3,26, 128 128 128 128 128 128 128,896,128,7,262.5857239,52.36,11477353,82.77,11496459,-2.515128613,121.7160797,17:03
 8 8 16 32,64, 3 4 6 3,3,16, 128 128 128 128,512,128,4,261.135437,49.3,11477338,78.48,11496444,-0.339576781,46.56708145,14:07
 16 8 32 16 8 32,112, 3 3 3 6 6 4,3,25, 128 128 128 128 128 128,768,128,6,249.8166351,53.36,11477270,80.73,11496376,-0.414295495,64.89679718,17:49
 8 16 8 32 32,96, 3 3 3 3 4,3,16, 128 128 128 128 128,640,128,5,232.988327,50.16,11477489,80.12,11496595,-0.388015151,52.9782486,17:05
 32 32 8 8 8 8 32,128, 6 6 3 6 3 6 6,6,36, 64 64 64 64 64 64 64,448,64,7,121.9673843,41.63,11477323,79.5,11496429,-1.776940942,64.94719696,15:53
 32 16 8 32 32 16 8,144, 6 6 6 6 6 4 3,6,37, 64 64 64 64 64 64 64,448,64,7,121.7078247,43.46,11477144,79.95,11496250,-0.636504054,38.90023422,16:59
 32 16 8 16 16,88, 6 6 4 6 3,6,25, 64 64 64 64 64,320,64,5,118.5560379,41.1,11477193,74.71,11496299,-0.066801727,15.34492111,13:59
 16 32 16 32,96, 6 6 3 6,6,21, 64 64 64 64,256,64,4,114.9534378,41.3,11477551,73.83,11496657,-0.127016217,17.35844994,12:41
 16 32 8 16,72, 6 6 4 3,6,19, 64 64 64 64,256,64,4,114.5360031,40.47,11477066,73.21,11496172,-0.073480181,13.96992397,9:44
 8 16 32 16,72, 6 6 6 3,6,21, 64 64 64 64,256,64,4,111.0808716,40.26,11477419,72,11496525,-0.112114958,15.25334072,11:07
 32 16 16 16,80, 6 4 6 6,6,22, 64 64 64 64,256,64,4,109.282547,39.12,11477219,73.83,11496325,-0.08303652,14.26656628,12:05
 32 32 32 32,128, 6 3 6 6,6,21, 64 64 64 64,256,64,4,109.2155457,39.98,11477205,73.83,11496311,-0.195479512,20.31066132,13:11
 32 32 8 8,80, 6 4 3 4,6,17, 64 64 64 64,256,64,4,109.099556,38.61,11477288,67.19,11496394,-0.069055676,13.27222347,11:31
