mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename,grasp score,snip score,training time,OA, AA, Kappa,Params,FLOPS
16 8 32 16 8 32,112,3 3 3 6 6 4,25,128 128 128 128 128 128,768,6,249.8166351,80.72,config_11728655,-0.414295495,64.89679718,22:46,0.8073,0.8796,0.7811,4396304,10168762368
16 8 16 8 8,56,4 6 3 6 6,25,196 196 196 196 196,980,5,861.9957886,80.23,config_11728656,-0.626972258,101.2443848,22:13,0.8024,0.8721,0.7759,5852328,11081177088
8 8 16 32 8,72,6 6 6 3 6,27,32 32 32 32 32,160,5,25.63964653,53.05,config_11728657,-0.014632158,4.653111935,13:06,0.5303,0.6527,0.4773,414032,4618371072
16 16 32 32 32 8 32,168,3 4 3 4 6 6 4,30,196 196 196 196 196 196 196,1372,7,711.4196167,83.48,config_11728658,-9.19102478,349.8495789,19:14,0.8348,0.8933,0.8114,10055832,17444460544
32 16 16 32 8 16 8,128,3 6 4 6 6 4 6,35,196 196 196 196 196 196 196,1372,7,857.083374,84.14,config_11728659,-4.894474983,293.6472778,14:21,0.8413,0.9009,0.8193,9464760,16840742912
32 8 32 16 8 32 32,160,3 6 3 3 6 4 4,29,32 32 32 32 32 32 32,224,7,20.39889908,63.44,config_11728660,-0.233587384,18.40552139,13:06,0.6343,0.7705,0.594,698064,6589693952
16 16 8 32 16 32 32,152,3 3 3 6 3 3 3,24,196 196 196 196 196 196 196,1372,7,638.0447998,85.15,config_11728661,-7.565634727,323.7703552,14:08,0.8515,0.9076,0.8307,10055832,17444460544
16 8 16 32 8 8 32,120,4 6 6 6 3 3 3,31,196 196 196 196 196 196 196,1372,7,899.9147339,83.24,config_11728662,-6.627603531,316.0475769,17:55,0.8324,0.8831,0.8086,8873688,16237025280
8 32 16 8,64,6 6 6 4,22,196 196 196 196,784,4,1051.620117,78.17,config_11728663,-0.654671371,96.66746521,20:14,0.7817,0.864,0.7526,4932720,9106970624
32 8 32 16 32 8 32,160,3 6 3 6 3 3 6,30,196 196 196 196 196 196 196,1372,7,792.3323364,83.72,config_11728664,-7.464063168,359.3273926,19:30,0.8372,0.9027,0.815,9464760,16840742912
16 16 8 16 32 8,96,6 3 6 3 3 6,27,128 128 128 128 128 128,768,6,369.645874,81.13,config_11728665,-0.320605338,59.6930275,11:49,0.8113,0.8716,0.7858,4133136,9900326912
8 32 8 8 16,72,3 6 4 3 4,20,32 32 32 32 32,160,5,19.93887329,51.04,config_11728666,-0.036341511,4.247299671,11:00,0.5101,0.6599,0.4523,414032,4618371072
16 8 16 16,56,4 6 4 4,18,32 32 32 32,128,4,21.23278236,50.33,config_11728667,-0.021264251,3.961266994,13:08,0.5034,0.6019,0.4458,330256,3691429888
16 16 16 16,64,6 4 6 4,20,32 32 32 32,128,4,23.43127441,47.62,config_11728668,-0.007863242,4.023855686,11:22,0.4759,0.5817,0.413,346896,3708207104
8 32 16 32 16,104,3 3 3 3 3,15,196 196 196 196 196,980,5,580.0997314,81.09,config_11728669,-0.81889987,120.5768356,10:40,0.8109,0.8774,0.7851,7034472,12288612352
32 8 32 16,88,6 4 4 6,20,196 196 196 196,784,4,910.6749268,79.5,config_11728670,-0.960809708,112.4797745,12:39,0.795,0.8535,0.7668,5523792,9710688256
32 16 32 32 32 16 32,192,4 3 6 3 6 4 4,30,128 128 128 128 128 128 128,896,7,333.4761963,83.03,config_11728671,-3.769095898,171.4985962,17:53,0.8303,0.8934,0.8072,6437008,13205438464
8 32 8 16,64,3 4 4 6,17,64 64 64 64,256,4,75.22916412,74.08,config_11728672,-0.020442821,12.35374641,14:59,0.7409,0.7899,0.7065,951312,4463624192
32 32 8 8,80,6 4 3 4,17,64 64 64 64,256,4,109.099556,67.36,config_11728673,-0.069055676,13.27222347,22:14,0.6736,0.7525,0.6328,1083408,4597841920
16 16 16 16 8 32,104,3 6 6 4 6 6,31,128 128 128 128 128 128,768,6,356.4194641,81.83,config_11728674,-0.399975538,64.82249451,20:55,0.8183,0.8816,0.7934,4396304,10168762368
8 32 16 32 32,120,3 4 6 4 6,23,196 196 196 196 196,980,5,688.491272,81.5,config_11728675,-0.997370183,121.6196976,21:57,0.815,0.8789,0.7895,7034472,12288612352
8 32 16 32 32,120,6 3 6 4 4,23,128 128 128 128 128,640,5,368.9361572,82,config_11728676,-0.446941376,62.65494919,17:26,0.8201,0.8674,0.7951,4197776,9011134464
32 32 8 32 16 16 8,144,4 4 4 3 3 4 3,25,128 128 128 128 128 128 128,896,7,358.8221741,82.05,config_11728677,-2.599682093,116.1266479,17:50,0.8204,0.8805,0.7961,5384336,12131696640
8 32 16 32 32 8 16,144,3 3 4 6 3 6 6,31,32 32 32 32 32 32 32,224,7,15.21342754,59.66,config_11728678,-0.161924809,14.66914845,14:54,0.5964,0.7458,0.5522,664784,6556139520
16 8 32 8 32 16 32,144,3 6 3 6 4 3 4,29,196 196 196 196 196 196 196,1372,7,790.993042,84.09,config_11728679,-7.17090559,325.8421631,23:32,0.8409,0.8994,0.8188,9464760,16840742912
32 8 16 16 16 32,120,3 3 3 3 6 3,21,196 196 196 196 196 196,1176,6,591.9221802,84.1,config_11728680,-0.887014627,143.63591,13:14,0.841,0.8998,0.8187,8545152,14866536448
16 32 16 32,96,4 4 4 6,18,196 196 196 196,784,4,796.1030273,79,config_11728681,-1.111573458,119.7642746,21:30,0.79,0.8517,0.7618,6114864,10314405888
8 8 16 8,40,4 6 6 6,22,196 196 196 196,784,4,840.7692871,78.79,config_11728682,-0.641047895,89.10842133,16:57,0.788,0.8545,0.7597,4341648,8503252992
32 16 16 16 8 32,120,3 6 3 6 3 6,27,32 32 32 32 32 32,192,6,20.8109436,61.09,config_11728683,-0.048111413,7.132833481,13:54,0.6108,0.7346,0.5686,564368,5612421120
32 32 8 32 8 8,120,3 3 6 4 3 6,25,196 196 196 196 196 196,1176,6,670.3279419,83.96,config_11728684,-1.180852175,123.5543137,26:18:00,0.8398,0.9005,0.8177,7363008,13659101184
32 32 32 8 16,120,4 3 3 6 3,19,64 64 64 64 64,320,5,88.97872925,77.11,config_11728685,-0.108758323,17.13196754,13:48,0.7712,0.8237,0.7407,1513488,5914853376
8 16 16 16 8,64,6 6 4 3 3,22,64 64 64 64 64,320,5,107.0127182,74.44,config_11728686,-0.062169768,13.66840172,20:31,0.7444,0.7941,0.709,1051152,5445091328
8 8 32 8 16 32 32,136,4 6 3 6 4 3 6,32,128 128 128 128 128 128 128,896,7,337.7090759,82.57,config_11728687,-3.587014675,161.3288422,14:26,0.8257,0.891,0.8023,5121168,11863261184
8 8 8 32 32,88,6 3 4 3 3,19,196 196 196 196 196,980,5,763.3463135,79.64,config_11728688,-0.978272438,103.9690857,12:33,0.7963,0.848,0.7672,5852328,11081177088
32 16 8 32,88,3 4 4 6,17,196 196 196 196,784,4,712.7930298,78.18,config_11728689,-1.233346224,105.1762924,15:53,0.7819,0.8346,0.7505,5523792,9710688256
32 32 32 16 32,144,6 3 3 4 4,20,128 128 128 128 128,640,5,400.4282532,80.56,config_11728690,-0.469535649,67.35648346,9:57,0.8055,0.8617,0.7792,4724112,9548005376
32 32 16 8 16 32,136,4 3 3 4 3 6,23,32 32 32 32 32 32,192,6,18.68794823,59.76,config_11728691,-0.060884714,7.241387367,13:36,0.5976,0.7216,0.5537,597648,5645975552
32 16 8 16 16,88,6 6 3 3 6,24,32 32 32 32 32,160,5,26.97294044,50.98,config_11728692,-0.029537996,4.644897461,17:20,0.5098,0.6481,0.4525,447312,4651925504
16 16 16 32 8 16,104,4 6 6 4 6 3,29,64 64 64 64 64 64,384,6,97.7043457,78.45,config_11728693,-0.085447751,18.62184143,19:31,0.7845,0.8477,0.7563,1481232,6762102784
16 32 16 32,96,6 4 3 4,17,64 64 64 64,256,4,102.0617447,74.26,config_11728694,-0.115755871,17.03431702,25:49:00,0.7426,0.8079,0.7104,1215504,4732059648
8 8 32 16 8 32 32,136,4 6 6 3 3 3 3,28,64 64 64 64 64 64 64,448,7,92.30970764,79.92,config_11728695,-0.958863854,55.1414299,13:52,0.7991,0.8657,0.7721,1845264,8012005376
32 16 16 8,72,6 3 6 3,18,64 64 64 64,256,4,101.4699554,67.92,config_11728696,-0.068348452,12.27141571,11:03,0.6791,0.7526,0.6365,1017360,4530733056
8 8 8 32 8 32 8,104,6 6 6 6 6 4 6,40,196 196 196 196 196 196 196,1372,7,997.6916504,83.66,config_11728697,-5.525511742,263.4714661,19:28,0.8365,0.8977,0.8137,7691544,15029590016
32 16 32 32 32 8,152,4 4 3 6 6 3,26,64 64 64 64 64 64,384,6,91.12169647,77.55,config_11728698,-0.15581724,22.97581863,17:38,0.7756,0.8493,0.7468,1877520,7164755968
8 32 32 8 8 8 8,104,4 4 3 6 4 6 4,31,196 196 196 196 196 196 196,1372,7,724.0489502,83.95,config_11728699,-5.80724144,260.7177734,22:52,0.8396,0.889,0.8168,7691544,15029590016
